・エリア供給力は、特定できるものは電源種別とし、バイオマス混焼や特定できないものは火力に包含
・実績データを基本とするが、把握実態により計画･統計データを採用する場合があり、情報は速報扱いとし、修正が必要となった場合には事後的に修正する
・太陽光の自家消費分は、エリア需要実績や太陽光発電実績には加算していない
,,,,,,,,,,,,,単位：MWh
DATE,TIME,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光（実績）,太陽光（出力制御量）,風力（実績）,風力（出力制御量）,揚水,連系線
2016/04/01,00:00,12372,0,11978,704,0,0,0,0,21,0,0,-331
2016/04/01,01:00,12129,0,11909,668,0,0,0,0,28,0,0,-476
2016/04/01,02:00,12273,0,12052,674,0,0,0,0,42,0,0,-495
2016/04/01,03:00,12362,0,12120,667,0,0,0,0,54,0,0,-479
2016/04/01,04:00,12227,0,11989,662,0,0,0,0,65,0,0,-489
2016/04/01,05:00,12293,0,12007,662,0,0,0,0,84,0,0,-460
2016/04/01,06:00,12799,0,12391,723,0,0,89,0,96,0,0,-500
2016/04/01,07:00,13755,0,13225,913,0,0,405,0,108,0,0,-896
2016/04/01,08:00,15514,0,14382,1020,0,0,840,0,119,0,0,-847
2016/04/01,09:00,16821,0,15367,1161,0,0,993,0,137,0,0,-837
2016/04/01,10:00,16956,0,15530,1248,0,0,954,0,151,0,0,-927
2016/04/01,11:00,16934,0,15432,1385,0,0,902,0,169,0,0,-954
2016/04/01,12:00,15854,0,14946,906,0,0,778,0,194,0,0,-970
2016/04/01,13:00,16904,0,15525,1480,0,0,619,0,224,0,0,-944
2016/04/01,14:00,16946,0,15569,1518,0,0,475,0,234,0,0,-850
2016/04/01,15:00,16581,0,15516,1429,0,0,324,0,240,0,0,-928
2016/04/01,16:00,16602,0,15570,1564,0,0,139,0,227,0,0,-898
2016/04/01,17:00,16220,0,15179,1569,0,0,19,0,234,0,0,-781
2016/04/01,18:00,16408,0,15151,1707,0,0,0,0,242,0,0,-692
2016/04/01,19:00,15824,0,14667,1743,0,0,0,0,251,0,0,-837
2016/04/01,20:00,15133,0,14544,1499,0,0,0,0,271,0,0,-1181
2016/04/01,21:00,14591,0,14232,1297,0,0,0,0,274,0,0,-1212
2016/04/01,22:00,13994,0,13375,1128,0,0,0,0,267,0,0,-776
2016/04/01,23:00,13516,0,12712,858,0,0,0,0,258,0,0,-312
2016/04/02,00:00,12459,0,12061,742,0,0,0,0,121,0,0,-465
2016/04/02,01:00,12100,0,12005,815,0,0,0,0,116,0,0,-836
2016/04/02,02:00,12131,0,12228,613,0,0,0,0,98,0,0,-808
2016/04/02,03:00,12129,0,12270,597,0,0,0,0,85,0,0,-823
2016/04/02,04:00,11842,0,11940,596,0,0,0,0,81,0,0,-775
2016/04/02,05:00,11516,0,11741,576,0,0,0,0,79,0,0,-880
2016/04/02,06:00,11250,0,11369,597,0,0,114,0,77,0,0,-907
2016/04/02,07:00,11527,0,11037,574,0,0,738,0,89,0,0,-911
2016/04/02,08:00,12426,0,10468,665,0,0,1834,0,93,0,0,-634
2016/04/02,09:00,13021,0,10221,754,0,0,2564,0,101,0,0,-619
2016/04/02,10:00,13013,0,10091,827,0,0,2714,0,99,0,0,-718
2016/04/02,11:00,12807,0,10198,823,0,0,2416,0,86,0,0,-716
2016/04/02,12:00,12279,0,9747,664,0,0,2572,0,85,0,0,-789
2016/04/02,13:00,12353,0,9803,671,0,0,2552,0,80,0,0,-753
2016/04/02,14:00,12391,0,10158,683,0,0,2153,0,88,0,0,-691
2016/04/02,15:00,12166,0,10645,863,0,0,1225,0,76,0,0,-643
2016/04/02,16:00,12226,0,11429,976,0,0,412,0,67,0,0,-658
2016/04/02,17:00,12616,0,12146,1235,0,0,45,0,50,0,0,-860
2016/04/02,18:00,13360,0,12746,1404,0,0,0,0,52,0,0,-842
2016/04/02,19:00,13112,0,12470,1432,0,0,0,0,53,0,0,-843
2016/04/02,20:00,12619,0,12224,1156,0,0,0,0,54,0,0,-815
2016/04/02,21:00,12024,0,11837,983,0,0,0,0,58,0,0,-854
2016/04/02,22:00,11461,0,11489,792,0,0,0,0,60,0,0,-880
2016/04/02,23:00,11099,0,10879,717,0,0,0,0,59,0,0,-556
2016/04/03,00:00,10689,0,10323,584,0,0,0,0,47,0,0,-265
2016/04/03,01:00,10569,0,10582,588,0,0,0,0,44,0,0,-645
2016/04/03,02:00,10756,0,10911,578,0,0,0,0,44,0,0,-777
2016/04/03,03:00,10825,0,11024,555,0,0,0,0,46,0,0,-800
2016/04/03,04:00,10636,0,10792,551,0,0,0,0,44,0,0,-751
2016/04/03,05:00,10297,0,10530,551,0,0,0,0,39,0,0,-823
2016/04/03,06:00,9980,0,10151,572,0,0,64,0,42,0,0,-849
2016/04/03,07:00,10286,0,10069,601,0,0,371,0,46,0,0,-801
2016/04/03,08:00,10768,0,9781,741,0,0,884,0,54,0,0,-692
2016/04/03,09:00,11265,0,9716,782,0,0,1525,0,64,0,0,-822
2016/04/03,10:00,11260,0,9498,763,0,0,1803,0,67,0,0,-871
2016/04/03,11:00,11229,0,9608,819,0,0,1690,0,66,0,0,-954
2016/04/03,12:00,11116,0,9976,661,0,0,1385,0,64,0,0,-970
2016/04/03,13:00,11075,0,9936,684,0,0,1356,0,74,0,0,-975
2016/04/03,14:00,10927,0,9774,786,0,0,1212,0,88,0,0,-933
2016/04/03,15:00,10989,0,10367,839,0,0,609,0,69,0,0,-895
2016/04/03,16:00,11301,0,10790,939,0,0,190,0,75,0,0,-693
2016/04/03,17:00,12089,0,11526,1110,0,0,27,0,84,0,0,-658
2016/04/03,18:00,12875,0,12142,1235,0,0,0,0,84,0,0,-586
2016/04/03,19:00,12781,0,12310,1247,0,0,0,0,87,0,0,-863
2016/04/03,20:00,12434,0,12249,1035,0,0,0,0,79,0,0,-929
2016/04/03,21:00,11975,0,11947,905,0,0,0,0,84,0,0,-961
2016/04/03,22:00,11327,0,11460,736,0,0,0,0,83,0,0,-952
2016/04/03,23:00,10906,0,10632,713,0,0,0,0,86,0,-36,-489
2016/04/04,00:00,10393,0,10269,665,0,0,0,0,96,0,-606,-31
2016/04/04,01:00,10380,0,10424,673,0,0,0,0,85,0,-696,-106
2016/04/04,02:00,10612,0,10905,679,0,0,0,0,67,0,-562,-477
2016/04/04,03:00,10799,0,10787,778,0,0,0,0,82,0,-270,-578
2016/04/04,04:00,10890,0,10694,901,0,0,0,0,102,0,-230,-577
2016/04/04,05:00,11042,0,10845,911,0,0,0,0,91,0,-228,-577
2016/04/04,06:00,11721,0,11415,895,0,0,2,0,47,0,-116,-522
2016/04/04,07:00,13205,0,12525,1001,0,0,57,0,40,0,0,-418
2016/04/04,08:00,15370,0,13987,1256,0,0,263,0,31,0,0,-167
2016/04/04,09:00,16559,0,14363,1498,0,0,700,0,23,0,0,-25
2016/04/04,10:00,16588,0,13739,1554,0,0,1277,0,10,0,0,8
2016/04/04,11:00,16651,0,13938,1645,0,0,1163,0,12,0,0,-107
2016/04/04,12:00,15490,0,12906,1288,0,0,1473,0,12,0,0,-189
2016/04/04,13:00,16658,0,13755,1366,0,0,1690,0,16,0,0,-169
2016/04/04,14:00,16610,0,13757,1424,0,0,1571,0,22,0,0,-164
2016/04/04,15:00,16166,0,13659,1485,0,0,1127,0,26,0,0,-131
2016/04/04,16:00,16156,0,14013,1679,0,0,619,0,43,0,0,-198
2016/04/04,17:00,15841,0,14130,1679,0,0,97,0,77,0,0,-142
2016/04/04,18:00,16149,0,14378,1754,0,0,1,0,80,0,0,-64
2016/04/04,19:00,15580,0,14141,1668,0,0,1,0,95,0,0,-325
2016/04/04,20:00,14904,0,13506,1638,0,0,1,0,99,0,0,-340
2016/04/04,21:00,14544,0,13434,1399,0,0,1,0,101,0,0,-391
2016/04/04,22:00,13937,0,13025,1105,0,0,1,0,98,0,0,-292
2016/04/04,23:00,13461,0,12483,1082,0,0,1,0,91,0,0,-196
2016/04/05,00:00,12670,0,11721,1043,0,0,0,0,70,0,0,-164
2016/04/05,01:00,12492,0,11873,1037,0,0,0,0,67,0,0,-485
2016/04/05,02:00,12548,0,11949,1068,0,0,0,0,54,0,0,-523
2016/04/05,03:00,12704,0,12095,1082,0,0,0,0,46,0,0,-519
2016/04/05,04:00,12608,0,12085,987,0,0,0,0,55,0,0,-519
2016/04/05,05:00,12627,0,12155,944,0,0,0,0,44,0,0,-516
2016/04/05,06:00,12958,0,12240,1005,0,0,195,0,44,0,0,-526
2016/04/05,07:00,13766,0,12141,1120,0,0,958,0,52,0,0,-505
2016/04/05,08:00,15678,0,12730,1394,0,0,1697,0,56,0,0,-199
2016/04/05,09:00,16838,0,13205,1425,0,0,2161,0,45,0,0,2
2016/04/05,10:00,16604,0,13182,1420,0,0,2182,0,34,0,0,-214
2016/04/05,11:00,16373,0,13203,1381,0,0,2000,0,26,0,0,-237
2016/04/05,12:00,15267,0,12173,1115,0,0,2019,0,25,0,0,-65
2016/04/05,13:00,16528,0,13118,1167,0,0,2508,0,32,0,0,-297
2016/04/05,14:00,16550,0,12977,1150,0,0,2599,0,25,0,0,-201
2016/04/05,15:00,16221,0,13261,1274,0,0,1861,0,16,0,0,-191
2016/04/05,16:00,16147,0,13659,1576,0,0,1090,0,13,0,0,-191
2016/04/05,17:00,15725,0,14026,1683,0,0,234,0,10,0,0,-228
2016/04/05,18:00,16193,0,14068,1971,0,0,0,0,19,0,0,135
2016/04/05,19:00,15822,0,13932,2118,0,0,0,0,33,0,0,-261
2016/04/05,20:00,15190,0,13912,1736,0,0,0,0,37,0,0,-495
2016/04/05,21:00,14780,0,13744,1526,0,0,0,0,42,0,0,-532
2016/04/05,22:00,14167,0,13459,1126,0,0,0,0,46,0,0,-464
2016/04/05,23:00,13755,0,12927,977,0,0,0,0,51,0,0,-200
2016/04/06,00:00,13112,0,12380,878,0,0,0,0,48,0,0,-194
2016/04/06,01:00,12846,0,12533,858,0,0,0,0,50,0,0,-595
2016/04/06,02:00,12844,0,12561,843,0,0,0,0,45,0,0,-605
2016/04/06,03:00,12991,0,12720,822,0,0,0,0,54,0,0,-605
2016/04/06,04:00,12978,0,12698,832,0,0,0,0,49,0,0,-601
2016/04/06,05:00,12982,0,12662,846,0,0,0,0,47,0,0,-573
2016/04/06,06:00,13478,0,12655,939,0,0,366,0,42,0,0,-524
2016/04/06,07:00,14322,0,12128,1151,0,0,1518,0,23,0,0,-498
2016/04/06,08:00,16094,0,12324,1363,0,0,2617,0,8,0,0,-218
2016/04/06,09:00,16928,0,12283,1384,0,0,3430,0,8,0,0,-177
2016/04/06,10:00,16842,0,12135,1344,0,0,3621,0,8,0,0,-266
2016/04/06,11:00,16865,0,11968,1265,0,0,3929,0,8,0,0,-305
2016/04/06,12:00,15422,0,11244,1027,0,0,3499,0,10,0,0,-358
2016/04/06,13:00,16433,0,12815,1245,0,0,2649,0,9,0,0,-285
2016/04/06,14:00,16417,0,13109,1287,0,0,2270,0,8,0,0,-257
2016/04/06,15:00,16115,0,13530,1333,0,0,1500,0,9,0,0,-257
2016/04/06,16:00,16163,0,14017,1405,0,0,915,0,12,0,0,-186
2016/04/06,17:00,15837,0,14096,1568,0,0,151,0,8,0,0,14
2016/04/06,18:00,16301,0,14371,1970,0,0,0,0,10,0,0,-50
2016/04/06,19:00,15900,0,14367,2015,0,0,0,0,8,0,0,-490
2016/04/06,20:00,15218,0,14238,1589,0,0,0,0,9,0,0,-618
2016/04/06,21:00,14669,0,13959,1337,0,0,0,0,11,0,0,-638
2016/04/06,22:00,14052,0,13454,1156,0,0,0,0,14,0,0,-572
2016/04/06,23:00,13484,0,12659,1038,0,0,0,0,18,0,0,-231
2016/04/07,00:00,12548,0,11942,987,0,0,0,0,31,0,0,-412
2016/04/07,01:00,12350,0,11881,987,0,0,0,0,50,0,0,-568
2016/04/07,02:00,12438,0,11944,1023,0,0,0,0,50,0,0,-579
2016/04/07,03:00,12467,0,11888,1051,0,0,0,0,90,0,0,-562
2016/04/07,04:00,12415,0,11892,982,0,0,0,0,109,0,0,-568
2016/04/07,05:00,12409,0,11899,946,0,0,0,0,119,0,0,-555
2016/04/07,06:00,13271,0,12674,997,0,0,0,0,138,0,0,-538
2016/04/07,07:00,14392,0,13513,1216,0,0,13,0,146,0,0,-496
2016/04/07,08:00,16517,0,14867,1660,0,0,72,0,146,0,0,-228
2016/04/07,09:00,17697,0,15490,2045,0,0,155,0,139,0,0,-132
2016/04/07,10:00,17913,0,15886,1817,0,0,157,0,122,0,0,-69
2016/04/07,11:00,17894,0,15767,1939,0,0,175,0,92,0,0,-79
2016/04/07,12:00,16671,0,15101,1534,0,0,197,0,57,0,0,-218
2016/04/07,13:00,17918,0,15782,2014,0,0,241,0,35,0,0,-154
2016/04/07,14:00,17963,0,15807,2081,0,0,164,0,41,0,0,-130
2016/04/07,15:00,17641,0,15848,1804,0,0,81,0,76,0,0,-168
2016/04/07,16:00,17705,0,15884,1867,0,0,57,0,73,0,0,-176
2016/04/07,17:00,17389,0,15747,1779,0,0,4,0,80,0,0,-221
2016/04/07,18:00,17180,0,15575,1742,0,0,0,0,110,0,0,-247
2016/04/07,19:00,16501,0,15267,1363,0,0,0,0,188,0,0,-317
2016/04/07,20:00,15644,0,14799,1290,0,0,0,0,140,0,0,-585
2016/04/07,21:00,14981,0,14205,1309,0,0,0,0,134,0,0,-667
2016/04/07,22:00,14228,0,13386,1302,0,0,0,0,128,0,0,-588
2016/04/07,23:00,13558,0,12582,1294,0,0,0,0,140,0,0,-458
2016/04/08,00:00,12726,0,11695,1312,0,0,0,0,135,0,0,-416
2016/04/08,01:00,12483,0,11447,1327,0,0,0,0,147,0,0,-438
2016/04/08,02:00,12574,0,11510,1348,0,0,0,0,149,0,0,-433
2016/04/08,03:00,12643,0,11588,1335,0,0,0,0,156,0,0,-436
2016/04/08,04:00,12579,0,11497,1354,0,0,0,0,162,0,0,-434
2016/04/08,05:00,12549,0,11542,1302,0,0,0,0,126,0,0,-421
2016/04/08,06:00,13037,0,11609,1340,0,0,380,0,121,0,0,-413
2016/04/08,07:00,13857,0,11737,1369,0,0,1006,0,111,0,0,-366
2016/04/08,08:00,15731,0,12706,1543,0,0,1563,0,123,0,0,-204
2016/04/08,09:00,16732,0,12962,1480,0,0,2166,0,107,0,0,17
2016/04/08,10:00,16764,0,12605,1412,0,0,2860,0,97,0,0,-210
2016/04/08,11:00,16580,0,12871,1375,0,0,2429,0,97,0,0,-192
2016/04/08,12:00,15212,0,12009,1373,0,0,1766,0,114,0,0,-50
2016/04/08,13:00,16308,0,13305,1769,0,0,1314,0,113,0,0,-193
2016/04/08,14:00,16316,0,13489,1923,0,0,993,0,93,0,0,-182
2016/04/08,15:00,16033,0,13481,1815,0,0,839,0,85,0,0,-187
2016/04/08,16:00,15845,0,13310,1818,0,0,547,0,84,0,0,86
2016/04/08,17:00,15506,0,13566,1622,0,0,196,0,92,0,0,30
2016/04/08,18:00,15877,0,13922,1949,0,0,0,0,95,0,0,-89
2016/04/08,19:00,15687,0,13744,1912,0,0,0,0,76,0,0,-45
2016/04/08,20:00,15067,0,13309,1760,0,0,0,0,58,0,0,-60
2016/04/08,21:00,14527,0,12761,1807,0,0,0,0,46,0,0,-87
2016/04/08,22:00,13913,0,12785,1707,0,0,0,0,42,0,0,-621
2016/04/08,23:00,13479,0,12240,1681,0,0,0,0,43,0,0,-485
2016/04/09,00:00,12750,0,11526,1581,0,0,0,0,42,0,0,-399
2016/04/09,01:00,12539,0,11339,1581,0,0,0,0,48,0,0,-429
2016/04/09,02:00,12600,0,11390,1592,0,0,0,0,55,0,0,-437
2016/04/09,03:00,12635,0,11376,1608,0,0,0,0,58,0,0,-407
2016/04/09,04:00,12418,0,11273,1613,0,0,0,0,45,0,-118,-395
2016/04/09,05:00,12122,0,11087,1591,0,0,0,0,29,0,-159,-426
2016/04/09,06:00,11871,0,10557,1587,0,0,316,0,28,0,-164,-453
2016/04/09,07:00,12263,0,9739,1579,0,0,1114,0,19,0,-20,-168
2016/04/09,08:00,13210,0,9541,1565,0,0,2263,0,12,0,0,-171
2016/04/09,09:00,13809,0,8946,1568,0,0,3436,0,10,0,0,-151
2016/04/09,10:00,13788,0,8245,1527,0,0,3992,0,11,0,0,13
2016/04/09,11:00,13556,0,7882,1519,0,0,4149,0,11,0,0,-5
2016/04/09,12:00,13072,0,7665,1510,0,0,3990,0,14,0,-58,-49
2016/04/09,13:00,13232,0,8267,1533,0,0,3704,0,15,0,-292,5
2016/04/09,14:00,13005,0,8610,1564,0,0,2858,0,19,0,0,-46
2016/04/09,15:00,12603,0,9329,1641,0,0,1825,0,33,0,0,-225
2016/04/09,16:00,12477,0,10348,1642,0,0,766,0,37,0,0,-316
2016/04/09,17:00,12568,0,11015,1679,0,0,115,0,32,0,0,-273
2016/04/09,18:00,13248,0,11627,1737,0,0,0,0,30,0,0,-146
2016/04/09,19:00,13143,0,11492,1724,0,0,0,0,24,0,0,-97
2016/04/09,20:00,12669,0,11284,1705,0,0,0,0,17,0,0,-337
2016/04/09,21:00,12061,0,10811,1599,0,0,0,0,17,0,0,-366
2016/04/09,22:00,11379,0,10051,1578,0,0,0,0,12,0,0,-262
2016/04/09,23:00,10959,0,9512,1576,0,0,0,0,10,0,0,-139
2016/04/10,00:00,10428,0,8933,1527,0,0,0,0,12,0,0,-44
2016/04/10,01:00,10375,0,8959,1487,0,0,0,0,22,0,0,-93
2016/04/10,02:00,10650,0,9479,1505,0,0,0,0,19,0,0,-353
2016/04/10,03:00,10820,0,9641,1508,0,0,0,0,24,0,0,-353
2016/04/10,04:00,10667,0,9498,1505,0,0,0,0,26,0,0,-362
2016/04/10,05:00,10345,0,9004,1498,0,0,0,0,27,0,0,-184
2016/04/10,06:00,9917,0,8385,1450,0,0,234,0,27,0,-82,-97
2016/04/10,07:00,10217,0,8294,1387,0,0,849,0,21,0,-238,-96
2016/04/10,08:00,10662,0,8149,1287,0,0,1536,0,20,0,-240,-90
2016/04/10,09:00,11143,0,8284,1264,0,0,2139,0,14,0,-492,-66
2016/04/10,10:00,11169,0,8132,1263,0,0,2492,0,12,0,-671,-59
2016/04/10,11:00,11133,0,8390,1266,0,0,2212,0,16,0,-747,-4
2016/04/10,12:00,10954,0,8563,1269,0,0,1633,0,20,0,-499,-32
2016/04/10,13:00,10933,0,8469,1291,0,0,1222,0,24,0,-88,15
2016/04/10,14:00,10920,0,8609,1304,0,0,972,0,26,0,0,9
2016/04/10,15:00,10967,0,8975,1339,0,0,604,0,27,0,0,22
2016/04/10,16:00,11156,0,9389,1453,0,0,361,0,35,0,0,-82
2016/04/10,17:00,11726,0,10460,1567,0,0,112,0,39,0,0,-452
2016/04/10,18:00,12639,0,11350,1668,0,0,0,0,46,0,0,-425
2016/04/10,19:00,12683,0,11395,1678,0,0,0,0,48,0,0,-438
2016/04/10,20:00,12303,0,11146,1564,0,0,0,0,57,0,0,-464
2016/04/10,21:00,11792,0,10644,1565,0,0,0,0,68,0,0,-485
2016/04/10,22:00,11070,0,10020,1527,0,0,0,0,75,0,0,-552
2016/04/10,23:00,10589,0,9316,1529,0,0,0,0,76,0,0,-332
2016/04/11,00:00,10132,0,9053,1327,0,0,0,0,74,0,-212,-110
2016/04/11,01:00,10181,0,9288,1316,0,0,0,0,84,0,-230,-277
2016/04/11,02:00,10403,0,9504,1309,0,0,0,0,115,0,-230,-295
2016/04/11,03:00,10608,0,9685,1288,0,0,0,0,109,0,-96,-378
2016/04/11,04:00,10665,0,9562,1243,0,0,0,0,119,0,0,-259
2016/04/11,05:00,10888,0,9680,1310,0,0,0,0,147,0,0,-249
2016/04/11,06:00,11692,0,10171,1425,0,0,230,0,151,0,0,-285
2016/04/11,07:00,12977,0,10566,1538,0,0,1199,0,183,0,0,-509
2016/04/11,08:00,15290,0,11250,1607,0,0,2562,0,176,0,0,-305
2016/04/11,09:00,16476,0,11489,1616,0,0,3478,0,172,0,0,-279
2016/04/11,10:00,16599,0,11101,1630,0,0,3950,0,177,0,0,-259
2016/04/11,11:00,16665,0,10836,1631,0,0,4369,0,190,0,0,-361
2016/04/11,12:00,15324,0,9934,1377,0,0,4392,0,191,0,-336,-234
2016/04/11,13:00,16326,0,10792,1572,0,0,4115,0,195,0,0,-348
2016/04/11,14:00,16310,0,11150,1766,0,0,3538,0,194,0,0,-338
2016/04/11,15:00,16089,0,11482,1792,0,0,2669,0,192,0,0,-46
2016/04/11,16:00,16175,0,12520,1979,0,0,1443,0,186,0,0,47
2016/04/11,17:00,15887,0,13293,2113,0,0,297,0,168,0,0,16
2016/04/11,18:00,16540,0,14106,2364,0,0,0,0,167,0,0,-97
2016/04/11,19:00,16346,0,14029,2296,0,0,0,0,164,0,0,-143
2016/04/11,20:00,15763,0,13963,1969,0,0,0,0,157,0,0,-326
2016/04/11,21:00,15375,0,13981,1698,0,0,0,0,135,0,0,-439
2016/04/11,22:00,14736,0,13523,1533,0,0,0,0,101,0,0,-421
2016/04/11,23:00,14257,0,12929,1394,0,0,0,0,63,0,0,-129
2016/04/12,00:00,13460,0,12413,1260,0,0,0,0,60,0,0,-273
2016/04/12,01:00,13295,0,12176,1233,0,0,0,0,67,0,0,-181
2016/04/12,02:00,13394,0,12383,1360,0,0,0,0,51,0,0,-400
2016/04/12,03:00,13477,0,12455,1386,0,0,0,0,45,0,0,-409
2016/04/12,04:00,13367,0,12384,1365,0,0,0,0,35,0,0,-417
2016/04/12,05:00,13419,0,12316,1354,0,0,1,0,25,0,0,-277
2016/04/12,06:00,14056,0,12529,1448,0,0,418,0,14,0,0,-353
2016/04/12,07:00,14763,0,12404,1446,0,0,1346,0,11,0,0,-444
2016/04/12,08:00,16571,0,12756,1594,0,0,2516,0,11,0,0,-306
2016/04/12,09:00,17458,0,12291,1769,0,0,3355,0,15,0,0,28
2016/04/12,10:00,17425,0,11975,1716,0,0,3983,0,25,0,0,-274
2016/04/12,11:00,17203,0,11708,1568,0,0,4189,0,40,0,-22,-280
2016/04/12,12:00,15574,0,10639,1399,0,0,3905,0,49,0,-230,-188
2016/04/12,13:00,16726,0,12014,1524,0,0,3452,0,59,0,-16,-307
2016/04/12,14:00,16677,0,12731,1569,0,0,2580,0,59,0,0,-262
2016/04/12,15:00,16309,0,13337,1648,0,0,1559,0,58,0,0,-293
2016/04/12,16:00,16396,0,13873,1810,0,0,678,0,62,0,0,-27
2016/04/12,17:00,16313,0,14008,2137,0,0,102,0,66,0,0,0
2016/04/12,18:00,16722,0,14470,2202,0,0,0,0,81,0,0,-31
2016/04/12,19:00,16274,0,14133,2107,0,0,0,0,76,0,0,-42
2016/04/12,20:00,15546,0,13692,1897,0,0,0,0,73,0,0,-116
2016/04/12,21:00,14968,0,13425,1787,0,0,0,0,65,0,0,-309
2016/04/12,22:00,14197,0,12882,1646,0,0,0,0,74,0,0,-405
2016/04/12,23:00,13586,0,12393,1570,0,0,0,0,68,0,0,-445
2016/04/13,00:00,12750,0,11691,1250,0,0,0,0,55,0,0,-246
2016/04/13,01:00,12476,0,11457,1246,0,0,0,0,56,0,0,-283
2016/04/13,02:00,12540,0,11591,1357,0,0,0,0,47,0,0,-455
2016/04/13,03:00,12671,0,11661,1413,0,0,0,0,59,0,0,-462
2016/04/13,04:00,12528,0,11523,1409,0,0,0,0,67,0,0,-471
2016/04/13,05:00,12585,0,11676,1265,0,0,0,0,88,0,0,-444
2016/04/13,06:00,13360,0,12329,1309,0,0,54,0,86,0,0,-418
2016/04/13,07:00,14451,0,12967,1525,0,0,249,0,85,0,0,-375
2016/04/13,08:00,16285,0,13877,1849,0,0,448,0,81,0,0,30
2016/04/13,09:00,17349,0,14331,2264,0,0,756,0,95,0,0,-97
2016/04/13,10:00,17352,0,14302,1960,0,0,1240,0,84,0,0,-234
2016/04/13,11:00,17200,0,13854,1796,0,0,1694,0,90,0,0,-234
2016/04/13,12:00,15909,0,12861,1450,0,0,1829,0,91,0,0,-322
2016/04/13,13:00,16877,0,14179,1698,0,0,1139,0,97,0,0,-236
2016/04/13,14:00,16926,0,14456,1995,0,0,570,0,89,0,0,-184
2016/04/13,15:00,16742,0,14510,2155,0,0,248,0,78,0,0,-249
2016/04/13,16:00,16858,0,14596,2350,0,0,88,0,80,0,0,-256
2016/04/13,17:00,16653,0,14582,2287,0,0,2,0,77,0,0,-295
2016/04/13,18:00,16668,0,14735,2090,0,0,0,0,93,0,0,-250
2016/04/13,19:00,16009,0,14167,1925,0,0,0,0,126,0,0,-209
2016/04/13,20:00,15311,0,13802,1817,0,0,0,0,158,0,0,-466
2016/04/13,21:00,14821,0,13807,1756,0,0,0,0,115,0,0,-857
2016/04/13,22:00,14115,0,13146,1596,0,0,0,0,78,0,0,-705
2016/04/13,23:00,13545,0,12319,1432,0,0,0,0,63,0,0,-269
2016/04/14,00:00,12710,0,11346,1439,0,0,0,0,42,0,0,-117
2016/04/14,01:00,12386,0,11139,1536,0,0,0,0,32,0,0,-321
2016/04/14,02:00,12500,0,11285,1543,0,0,0,0,28,0,0,-356
2016/04/14,03:00,12561,0,11370,1518,0,0,0,0,18,0,0,-345
2016/04/14,04:00,12427,0,11334,1426,0,0,0,0,16,0,0,-349
2016/04/14,05:00,12376,0,11224,1435,0,0,0,0,18,0,0,-301
2016/04/14,06:00,12957,0,11724,1502,0,0,62,0,16,0,0,-347
2016/04/14,07:00,13892,0,12101,1659,0,0,370,0,15,0,0,-253
2016/04/14,08:00,15714,0,13065,1767,0,0,787,0,19,0,0,76
2016/04/14,09:00,16844,0,13144,1879,0,0,1573,0,25,0,0,223
2016/04/14,10:00,16914,0,12626,1878,0,0,2440,0,30,0,0,-60
2016/04/14,11:00,16841,0,12023,1724,0,0,3121,0,31,0,-2,-56
2016/04/14,12:00,15537,0,10762,1500,0,0,3632,0,35,0,-192,-200
2016/04/14,13:00,16653,0,11624,1561,0,0,3551,0,49,0,0,-132
2016/04/14,14:00,16633,0,11995,1621,0,0,3069,0,65,0,0,-117
2016/04/14,15:00,16371,0,12487,1610,0,0,2314,0,83,0,0,-123
2016/04/14,16:00,16275,0,13129,1640,0,0,1222,0,97,0,0,187
2016/04/14,17:00,15784,0,13521,1790,0,0,254,0,109,0,0,110
2016/04/14,18:00,15998,0,13850,1878,0,0,0,0,128,0,0,142
2016/04/14,19:00,15576,0,13449,1831,0,0,0,0,134,0,0,162
2016/04/14,20:00,14869,0,13237,1797,0,0,0,0,147,0,0,-312
2016/04/14,21:00,14328,0,12859,1662,0,0,0,0,153,0,0,-346
2016/04/14,22:00,13653,0,12197,1621,0,0,0,0,144,0,0,-309
2016/04/14,23:00,13084,0,11567,1617,0,0,0,0,133,0,0,-233
2016/04/15,00:00,12355,0,10679,1502,0,0,0,0,134,0,0,40
2016/04/15,01:00,12108,0,10361,1494,0,0,0,0,139,0,0,114
2016/04/15,02:00,12141,0,10651,1475,0,0,0,0,139,0,0,-124
2016/04/15,03:00,12356,0,10756,1629,0,0,0,0,148,0,0,-177
2016/04/15,04:00,12258,0,10655,1570,0,0,0,0,161,0,0,-128
2016/04/15,05:00,12173,0,10489,1502,0,0,8,0,170,0,0,4
2016/04/15,06:00,12680,0,10440,1543,0,0,578,0,173,0,0,-54
2016/04/15,07:00,13580,0,10148,1548,0,0,1842,0,175,0,0,-133
2016/04/15,08:00,15395,0,10663,1615,0,0,2979,0,167,0,0,-29
2016/04/15,09:00,16457,0,10782,1704,0,0,3839,0,152,0,0,-20
2016/04/15,10:00,16542,0,10538,1527,0,0,4371,0,145,0,0,-39
2016/04/15,11:00,16553,0,10416,1467,0,0,4580,0,148,0,-2,-56
2016/04/15,12:00,15248,0,9706,1399,0,0,4497,0,151,0,-603,98
2016/04/15,13:00,16250,0,10612,1448,0,0,4126,0,144,0,-4,-76
2016/04/15,14:00,16252,0,11242,1458,0,0,3471,0,132,0,0,-51
